Tramnummer;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS
1;06:00:00;06:22:00;06:44:00;07:06:00;07:28:00;07:50:00;08:12:00;08:34:00;08:56:00;09:18:00;09:40:00;10:02:00;10:24:00;10:46:00;11:08:00;11:30:00;11:52:00;12:14:00;12:36:00;12:58:00;13:20:00;13:42:00;14:04:00;14:26:00;14:48:00;15:10:00;15:32:00;15:54:00;16:16:00;16:38:00;17:00:00;17:22:00;17:44:00;18:06:00;18:28:00;18:50:00;19:12:00;19:34:00;19:56:00;20:18:00;20:40:00;21:02:00;21:24:00
2;;;;;;07:51:30;08:13:30;08:35:30;08:57:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;07:09:00;07:31:00;07:53:00;08:15:00;08:37:00;08:59:00;09:21:00;09:43:00;10:05:00;10:27:00;10:49:00;11:11:00;11:33:00;11:55:00;12:17:00;12:39:00;13:01:00;13:23:00;13:45:00;14:07:00;14:29:00;14:51:00;15:13:00;15:35:00;15:57:00;16:19:00;16:41:00;17:03:00;17:25:00;17:47:00;;;;;;;;;;
4;;;;;;07:54:30;08:16:30;08:38:30;09:00:30;;;;;;;;;;;;;;;;;;15:36:30;15:58:30;16:20:30;16:42:30;17:04:30;17:26:30;17:48:30;;;;;;;;;;
5;;;;07:12:00;07:34:00;07:56:00;08:18:00;08:40:00;09:02:00;09:24:00;09:46:00;10:08:00;10:30:00;10:52:00;11:14:00;11:36:00;11:58:00;12:20:00;12:42:00;13:04:00;13:26:00;13:48:00;14:10:00;14:32:00;14:54:00;15:16:00;15:38:00;16:00:00;16:22:00;16:44:00;17:06:00;17:28:00;17:50:00;18:12:00;18:34:00;18:56:00;19:18:00;19:40:00;20:02:00;20:24:00;20:46:00;21:08:00;21:30:00
6;;;;;;07:57:30;08:19:30;08:41:30;09:03:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;06:31:00;06:53:00;07:15:00;07:37:00;07:59:00;08:21:00;08:43:00;09:05:00;09:27:00;09:49:00;10:11:00;10:33:00;10:55:00;11:17:00;11:39:00;12:01:00;12:23:00;12:45:00;13:07:00;13:29:00;13:51:00;14:13:00;14:35:00;14:57:00;15:19:00;15:41:00;16:03:00;16:25:00;16:47:00;17:09:00;17:31:00;17:53:00;;;;;;;;;;
8;;;;;;08:00:30;08:22:30;08:44:30;09:06:30;;;;;;;;;;;;;;;;;;;16:04:30;16:26:30;16:48:30;17:10:30;17:32:30;17:54:30;;;;;;;;;;
9;06:12:00;06:34:00;06:56:00;07:18:00;07:40:00;08:02:00;08:24:00;08:46:00;09:08:00;09:30:00;09:52:00;10:14:00;10:36:00;10:58:00;11:20:00;11:42:00;12:04:00;12:26:00;12:48:00;13:10:00;13:32:00;13:54:00;14:16:00;14:38:00;15:00:00;15:22:00;15:44:00;16:06:00;16:28:00;16:50:00;17:12:00;17:34:00;17:56:00;18:18:00;18:40:00;19:02:00;19:24:00;19:46:00;20:08:00;20:30:00;20:52:00;21:14:00;
10;;;;;;08:03:30;08:25:30;08:47:30;09:09:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
