PR;WKZ;UMC;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Vaartsche Rijn
0,000380455;0,005706818;0,012174545;0,273927273;0,109570909;0,0361584;0,20088;0,3635928
0,0003348;0,005022;0,0107136;0,281232;0;0,036523636;0,228272727;0,365236364
0,000332143;0,004982143;0,010628571;0,282188571;0;0,007971429;0,339013469;0,220968
0,001211447;0,018171711;0,038766316;0,359469474;0;0,105726316;1,727568;0,179357143
0,004804208;0,072063117;0,15373465;0,841885667;0,112251422;0,196439989;0,834500705;0,324938327
0,030206546;0,453098189;0,966609469;1,467581459;0,263751062;0,265652339;0,367489775;0,38085304
0,039813656;0,597204836;1,274036983;2,074972755;0,219937062;0,370477497;2,221642732;1,09523089
0,058835484;0,882532263;1,882735494;1,739451602;0,220493865;0,320718349;2,278436606;1,573763031
0,058464282;0,876964236;1,870857037;2,149976837;0,422633367;0,32294556;2,957179084;2,537349857
0,09305961;1,395894157;2,977907536;2,155193084;0,304781013;0,213935967;2,065208114;1,678490689
0,062709903;0,940648544;2,006716893;2,171530489;0,654799963;0,427624466;2,35573112;1,738528125
0,094533772;1,418006578;3,025080701;1,891904179;0,444328546;0,207873004;1,889558127;1,536775423
0,039761375;0,596420625;1,272364;1,1030265;0,255006;0,177444;0,98208;0,442573851
0,029538835;0,443082521;0,945242711;1,136011034;0,22166069;0,159318621;1,232517966;0,876961627
0,03780023;0,567003444;1,209607347;1,306346327;0,313277143;0,173350102;0,693827345;0,54489317
0,040438966;0,606584483;1,294046897;2,33090069;0,721823077;0,144117931;0,899380552;0,576812571
0,017729182;0,265937727;0,567333818;1,955232;1,009269818;0,433869474;1,343759098;0,803715789
0,036041441;0,54062161;1,153326102;2,152177627;2,46484678;0,145275789;1,151432301;0,844507636
0,071486574;1,072298611;2,28757037;4,312596;4,28079;0,3854385;1,650564;0,532332
0,053847;0,807705;1,723104;13,3424;3,93012;2,35224;1,488487869;1,181313443
0,039132155;0,586982328;1,252228966;7,245533793;3,640276552;2,703221379;1,452691525;0,984728734
0,024624617;0,369369253;0,787987741;4,717020984;3,139553898;1,157786264;1,691773493;1,046836867
0,04708125;0,70621875;1,5066;4,52628;3,695707952;0,640902857;2,014968056;2,245904262
0,067240476;1,008607143;2,151695238;9,292205714;4,259931429;0,58032;2,23902;2,5119
0,061678929;0,925183929;1,973725714;9,270771429;5,807982857;0,655251429;2,692748571;2,070977143
0,039807321;0,597109821;1,273834286;7,643005714;7,217331429;0,596661429;3,086537143;2,09808
0,075761786;1,136426786;2,424377143;12,87425571;9,412662857;0,924685714;2,793188571;2,643325714
0,087818571;1,317278571;2,810194286;28,7928;9,049165714;2,353165714;2,536508571;2,559227143
0,072141429;1,082121429;2,308525714;14,50481143;10,90810286;4,114851429;2,536907143;2,066194286
0,053176071;0,797641071;1,701634286;8,68248;8,154771429;0,918308571;2,79;2,557234286
0,0525825;0,7887375;1,68264;6,59664;7,12152;0,96228;3,076354286;2,782028571
0,046035;0,690525;1,47312;10,73592;6,799628571;0,578725714;2,4552;2,53368
0,068427302;1,026409527;2,189673659;12,18508683;9,658705574;0,643060976;2,986855082;4,103691429
0,091982813;1,379742188;2,94345;9,805455;11,19596;0,879261639;3,435582127;3,94415325
0,085395947;1,280939209;2,732670313;14,67175506;10,79732111;0,548938462;2,929223385;3,018139672
0,129764212;1,946463173;4,152454769;21,66722585;8,839836;1,429596;3,225470383;4,184272888
0,191049787;2,865746799;6,113593171;29,11518;11,64669535;2,221712308;4,308387805;2,975496842
0,176191875;2,642878125;5,63814;15,81746268;14,69502;3,674021707;4,019246557;1,608967677
0,13586037;2,037905556;4,347531852;14,02254;13,40839125;1,483365246;5,071472579;3,604053059
0,142251885;2,133778279;4,552060328;18,17031732;11,11975082;1,28793375;5,458528222;3,050613443
0,278909739;4,183646092;8,925111663;21,96688947;16,33765124;2,681179158;7,180638707;2,732895616
0,310074394;4,651115904;9,922380594;18,93916593;15,83735379;2,082859094;6,639967754;4,19505816
0,382582843;5,738742638;12,24265096;23,95843657;17,66418486;2,188258791;8,185653868;4,237248902
0,439746813;6,596202189;14,071898;36,27199813;16,70798334;1,664227461;6,630871615;3,060459802
0,448015037;6,720225552;14,33648118;43,08963212;20,09506527;3,13364018;5,498938751;3,047368547
0,353068177;5,29602266;11,29818167;21,42774477;18,86820192;3,264648553;6,536633224;2,060395386
0,158767846;2,381517692;5,080571076;16,2713121;13,56905864;1,353027759;6,915700521;1,428737752
0,174300923;2,614513838;5,577629521;13,76327629;8,948099824;0,732665735;4,128231576;1,12228182
0,086448623;1,296729343;2,766355932;9,656710169;5,745508475;0,673837975;3,666318813;0,724703766
0,043148413;0,647226196;1,380749218;7,047291118;4,32736755;0,459721784;3,211779197;0,773126781
0,02824875;0,42373125;0,90396;5,594508;3,806920976;0,342965854;2,287138955;0,554811429
0,026803929;0,402058929;0,857725714;5,780082857;3,376697143;0,425674286;1,888645296;0,372362927
0,020327143;0,304907143;0,650468571;10,41706286;3,577577143;0,530897143;1,47312;0,258274286
0,012953571;0,194303571;0,414514286;5,175051429;2,841017143;0,640902857;1,554428571;0,282188571
0,012276;0,18414;0,392832;2,303424;2,531088;0,174096;0,843696;0,154008
0,010960714;0,164410714;0,350742857;2,171417143;1,683565714;0,140297143;1,686754286;0,229577143
0,011558571;0,173378571;0,369874286;1,842994286;2,506217143;0,216822857;0,733371429;0,17856
0,012621429;0,189321429;0,403885714;1,677188571;1,715451429;0,191314286;1,422102857;0,146674286
0,00744;0,1116;0,23808;1,262674286;1,447611429;0,108411429;0,529302857;0,121165714
0,009565714;0,143485714;0,306102857;1,262674286;0,612205714;0,108411429;1,084114286;0,286971429
0,008104286;0,121564286;0,259337143;1,275428571;1,42848;0,057394286;0,675977143;0,070148571
0,00558;0,0837;0,17856;0,784388571;1,16064;0,165805714;1,141508571;0,255085714
0,001328571;0,019928571;0,042514286;0,542057143;0,695108571;0,025508571;0,261462857;0,140297143
0,001328571;0,019928571;0,042514286;0,542057143;0,695108571;0,025508571;0,261462857;0,140297143
0,001328571;0,019928571;0,042514286;0,542057143;0,695108571;0,025508571;0,261462857;0,140297143
0,001328571;0,019928571;0,042514286;0,542057143;0,695108571;0,025508571;0,261462857;0,140297143
