Tramnummer;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R
1;06:00:00;06:20:30;06:41:00;07:01:30;07:22:00;07:42:30;08:03:00;08:23:30;08:44:00;09:04:30;09:25:00;09:45:30;10:06:00;10:26:30;10:47:00;11:07:30;11:28:00;11:48:30;12:09:00;12:29:30;12:50:00;13:10:30;13:31:00;13:51:30;14:12:00;14:32:30;14:53:00;15:13:30;15:34:00;15:54:30;16:15:00;16:35:30;16:56:00;17:16:30;17:37:00;17:57:30;18:18:00;18:38:30;18:59:00;19:19:30;19:40:00;20:00:30;20:21:00;20:41:30;21:02:00;21:22:30
2;;;;;;07:45:30;08:06:00;08:26:30;08:47:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;07:07:30;07:28:00;07:48:30;08:09:00;08:29:30;08:50:00;09:10:30;09:31:00;09:51:30;10:12:00;10:32:30;10:53:00;11:13:30;11:34:00;11:54:30;12:15:00;12:35:30;12:56:00;13:16:30;13:37:00;13:57:30;14:18:00;14:38:30;14:59:00;15:19:30;15:40:00;16:00:30;16:21:00;16:41:30;17:02:00;17:22:30;17:43:00;18:03:30;18:24:00;;;;;;;;;
4;;;;;;07:51:30;08:12:00;08:32:30;08:53:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;07:13:30;07:34:00;07:54:30;08:15:00;08:35:30;08:56:00;09:16:30;09:37:00;09:57:30;10:18:00;10:38:30;10:59:00;11:19:30;11:40:00;12:00:30;12:21:00;12:41:30;13:02:00;13:22:30;13:43:00;14:03:30;14:24:00;14:44:30;15:05:00;15:25:30;15:46:00;16:06:30;16:27:00;16:47:30;17:08:00;17:28:30;17:49:00;18:09:30;18:30:00;18:50:30;19:11:00;19:31:30;19:52:00;20:12:30;20:33:00;20:53:30;21:14:00;21:34:30
6;;;;;;07:57:30;08:18:00;08:38:30;08:59:00;;;;;;;;;;;;;;;;;;;;;16:09:30;16:30:00;16:50:30;17:11:00;17:31:30;17:52:00;18:12:30;18:33:00;;;;;;;;;
7;;;;;;08:00:30;08:21:00;08:41:30;09:02:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;06:21:00;06:41:30;07:02:00;07:22:30;07:43:00;08:03:30;08:24:00;08:44:30;09:05:00;09:25:30;09:46:00;10:06:30;10:27:00;10:47:30;11:08:00;11:28:30;11:49:00;12:09:30;12:30:00;12:50:30;13:11:00;13:31:30;13:52:00;14:12:30;14:33:00;14:53:30;15:14:00;15:34:30;15:55:00;16:15:30;16:36:00;16:56:30;17:17:00;17:37:30;17:58:00;18:18:30;18:39:00;18:59:30;19:20:00;19:40:30;20:01:00;20:21:30;20:42:00;21:02:30;21:23:00;21:43:30
9;;;;;;08:06:30;08:27:00;08:47:30;09:08:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;06:47:30;07:08:00;07:28:30;07:49:00;08:09:30;08:30:00;08:50:30;09:11:00;09:31:30;09:52:00;10:12:30;10:33:00;10:53:30;11:14:00;11:34:30;11:55:00;12:15:30;12:36:00;12:56:30;13:17:00;13:37:30;13:58:00;14:18:30;14:39:00;14:59:30;15:20:00;15:40:30;16:01:00;16:21:30;16:42:00;17:02:30;17:23:00;17:43:30;18:04:00;18:24:30;18:45:00;;;;;;;;;
11;;;;;;08:12:30;08:33:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;06:53:30;07:14:00;07:34:30;07:55:00;08:15:30;08:36:00;08:56:30;09:17:00;09:37:30;09:58:00;10:18:30;10:39:00;10:59:30;11:20:00;11:40:30;12:01:00;12:21:30;12:42:00;13:02:30;13:23:00;13:43:30;14:04:00;14:24:30;14:45:00;15:05:30;15:26:00;15:46:30;16:07:00;16:27:30;16:48:00;17:08:30;17:29:00;17:49:30;18:10:00;18:30:30;18:51:00;19:11:30;19:32:00;19:52:30;20:13:00;20:33:30;20:54:00;21:14:30;21:35:00;21:55:30
13;;;;;;08:18:30;08:39:00;;;;;;;;;;;;;;;;;;;;;;;16:30:30;16:51:00;17:11:30;17:32:00;17:52:30;18:13:00;18:33:30;18:54:00;;;;;;;;;
14;;06:59:30;07:20:00;07:40:30;08:01:00;08:21:30;08:42:00;09:02:30;09:23:00;09:43:30;10:04:00;10:24:30;10:45:00;11:05:30;11:26:00;11:46:30;12:07:00;12:27:30;12:48:00;13:08:30;13:29:00;13:49:30;14:10:00;14:30:30;14:51:00;15:11:30;15:32:00;15:52:30;16:13:00;16:33:30;16:54:00;17:14:30;17:35:00;17:55:30;18:16:00;18:36:30;18:57:00;;;;;;;;;
